stock,endDate,totalRevenue,costOfRevenue,grossProfit,totalOperatingExpenses,sellingGeneralAdministrative,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome
DGX,2018-12-31,7531000000,4870000000,2661000000,6317000000,1359000000.0,1214000000,1214000000,970000000.0,182000000,736000000
DGX,2017-12-31,7402000000,4708000000,2694000000,6204000000,1421000000.0,1198000000,1198000000,1065000000.0,241000000,772000000
DGX,2016-12-31,7214000000,4576000000,2638000000,5986000000,1337000000.0,1228000000,1228000000,1125000000.0,429000000,645000000
CRD-A,2019-12-31,1005802000,710948000,294854000,941677000,230729000.0,64125000,64125000,23637000.0,14111000,12485000
CRD-A,2018-12-31,1070971000,755997000,314974000,995828000,239831000.0,75143000,75143000,44131000.0,18542000,25978000
CRD-A,2017-12-31,1105832000,784290000,321542000,1023951000,239661000.0,81881000,81881000,42262000.0,15039000,27665000
CRD-A,2016-12-31,1109286000,781810000,327476000,1028225000,246415000.0,81061000,81061000,63241000.0,25565000,35966000
JAN,2019-12-28,35097000,27311000,7786000,47528000,20217000.0,-12431000,-12431000,-15161000.0,-3197000,-11964000
JAN,2018-12-29,36794000,25741000,11053000,42891000,17150000.0,-6097000,-6097000,-6335000.0,-727000,-5608000
JAN,2017-12-30,41544000,28399000,13145000,41775000,13376000.0,-231000,-231000,4067000.0,-1330000,118000
JAN,2016-12-31,40459000,28100000,12359000,39340000,11240000.0,1119000,1119000,-40000.0,426000,-1451000
BBU,2019-12-31,43032000000,38189000000,4843000000,40963000000,905000000.0,2069000000,2069000000,626000000.0,192000000,43000000
BBU,2018-12-31,37168000000,34069000000,3099000000,35525000000,643000000.0,1643000000,1643000000,1301000000.0,98000000,74000000
BBU,2017-12-31,22823000000,21844000000,979000000,22587000000,340000000.0,236000000,236000000,223000000.0,8000000,-58000000
BBU,2016-12-31,7960000000,7367000000,593000000,7941000000,269000000.0,19000000,19000000,-218000000.0,-16000000,-32000000
FC,2019-08-31,225356000,66042000,159314000,220867000,143485000.0,4489000,4489000,592000.0,1615000,-1023000
FC,2018-08-31,209758000,61469000,148289000,212110000,140112000.0,-2352000,-2352000,-5520000.0,367000,-5887000
FC,2017-08-31,185256000,60482000,124774000,190783000,122884000.0,-5527000,-5527000,-10909000.0,-3737000,-7172000
FC,2016-08-31,200055000,64901000,135154000,183892000,112051000.0,16163000,16163000,11911000.0,4895000,7016000
NET,2019-12-31,287022000,63423000,223599000,394968000,240876000.0,-107946000,-107946000,-104713000.0,1115000,-105828000
NET,2018-12-31,192674000,43537000,149137000,277573000,179573000.0,-84899000,-84899000,-86087000.0,1077000,-87164000
NET,2017-12-31,134915000,28788000,106127000,144645000,82207000.0,-9730000,-9730000,-9715000.0,1033000,-10748000
NET,2016-12-31,84791000,23962000,60829000,101820000,54195000.0,-17029000,-17029000,-17265000.0,69000,-17334000
IPWR,2016-12-31,1628740,1939712,-310972,12528908,5364204.0,-10900168,-10900168,-10981091.0,0,-10981091
MTW,2019-12-31,1834100000,1490000000,344100000,1726100000,235800000.0,108000000,108000000,59000000.0,12400000,46600000
MTW,2018-12-31,1846800000,1518700000,328100000,1776500000,257500000.0,70300000,70300000,-71700000.0,-4800000,-67100000
MTW,2017-12-31,1581300000,1299400000,281900000,1552800000,252500000.0,28500000,28500000,-39500000.0,-49500000,9400000
MTW,2016-12-31,1613100000,1359800000,253300000,1640500000,275100000.0,-27400000,-27400000,-268100000.0,100500000,-375800000
ORN,2019-12-31,708390000,644349000,64041000,703220000,56231000.0,5170000,5170000,-3491000.0,1868000,-5359000
ORN,2018-12-31,520894000,504118000,16776000,560705000,53197000.0,-39811000,-39811000,-106655000.0,-12233000,-94422000
ORN,2017-12-31,578553000,516313000,62240000,577689000,56640000.0,864000,864000,-4141000.0,-4541000,400000
ORN,2016-12-31,578236000,510754000,67482000,575741000,64987000.0,2495000,2495000,-2039000.0,1581000,-3620000
NCLH,2019-12-31,6462376000,3663261000,2799115000,5278163000,968714000.0,1184213000,1184213000,911365000.0,-18863000,930228000
